Peak,Artist,SongName,Weeks
1,Kendrick Lamar,GNX,1
2,"Cynthia Erivo, Ariana Grande & Various Artists",Wicked: The Soundtrack,1
1,Sabrina Carpenter,Short n' Sweet,14
1,"Tyler, The Creator",CHROMAKOPIA,5
2,Billie Eilish,Hit Me Hard And Soft,28
2,Gracie Abrams,The Secret Of Us,23
6,Rauw Alejandro,Cosa Nuestra,2
1,Taylor Swift,The Tortured Poets Department,32
1,Morgan Wallen,One Thing At A Time,91
2,Chappell Roan,The Rise And Fall Of A Midwest Princess,36
2,Zach Bryan,The Great American Bar Scene,22
1,Michael Buble,Christmas,121
1,SZA,SOS,103
5,GloRilla,Glorious,7
2,Noah Kahan,Stick Season,105
16,The Philly Specials,A Philly Special Christmas Party,1
2,Rod Wave,Last Lap,7
18,Bing Crosby,Ultimate Christmas,4
1,Post Malone,F-1 Trillion,15
1,Jelly Roll,Beautifully Broken,7
1,Morgan Wallen,Dangerous: The Double Album,203
3,Mariah Carey,Merry Christmas,128
11,Tito Double P,Incomodo,14
1,ATEEZ,Golden Hour : Part.2 (EP),2
8,BigXthaPlug,Take Care,7
26,Soundtrack,Arcane League Of Legends: Season Two,1
3,Charli xcx,Brat,25
4,Nat King Cole,The Christmas Song,84
6,Vince Guaraldi Trio,A Charlie Brown Christmas (Soundtrack),119
2,Linkin Park,From Zero,2
17,Teddy Swims,I've Tried Everything But Therapy (Part I),60
32,Marilyn Manson,One Assassination Under God: Chapter 1,1
33,Original Broadway Cast Recording,Wicked,116
1,Taylor Swift,Lover,275
5,Shaboozey,"Where I've Been, Isn't Where I'm Going",26
2,Nicki Minaj,The Pinkprint,124
7,Elton John,Diamonds,368
6,Benson Boone,Fireworks & Rollerblades,34
4,Juice WRLD,Goodbye & Good Riddance,341
1,Zach Bryan,Zach Bryan,66
1,Taylor Swift,Midnights,110
12,Frank Sinatra,Ultimate Christmas,48
7,Various Artists,A Christmas Gift For You From Phil Spector,41
1,Taylor Swift,Folklore,227
5,Zach Bryan,American Heartbreak,132
1,Taylor Swift,1989 (Taylor's Version),57
1,Fleetwood Mac,Rumours,609
48,Ice Cube,Man Down,1
1,Frank Ocean,Blonde,410
14,Andy Williams,The Andy Williams Christmas Album,38
7,Pentatonix,The Best Of Pentatonix Christmas,39
18,Cody Johnson,Leather,46
5,Peso Pluma,Exodo,23
2,ENHYPEN,Romance : Untold,14
1,Eminem,Curtain Call: The Hits,712
56,Zach Top,Cold Beer & Country Music,15
2,Kendrick Lamar,"good kid, m.A.A.d city",631
1,Kendrick Lamar,DAMN.,398
16,Brenda Lee,Rockin' Around The Christmas Tree: The Decca Christmas Recordings,34
1,Olivia Rodrigo,Guts,64
1,Olivia Rodrigo,Sour,184
11,Post Malone,The Diamond Collection,54
28,Ed Sheeran,+-=÷x (Tour Collection),7
1,"Tyler, The Creator",IGOR,268
1,Travis Scott,Utopia,70
4,Luke Combs,This One's For You,391
1,Future & Metro Boomin,We Don't Trust You,36
3,SZA,Ctrl,390
1,Drake,Take Care,613
1,Taylor Swift,Evermore,207
1,Ariana Grande,Eternal Sunshine,38
2,Gunna,One Of Wun,29
1,Future,Mixtape Pluto,10
1,Taylor Swift,reputation,323
1,Taylor Swift,Red (Taylor's Version),159
23,George Michael & Wham!,Last Christmas (Soundtrack),31
1,Bad Bunny,Un Verano Sin Ti,134
78,Bobby Helms,A Bobby Helms Christmas (EP),2
1,Drake,For All The Dogs,60
8,Queen,Greatest Hits,623
23,Sabrina Carpenter,Emails I Can't Send,62
3,Peso Pluma,Genesis,75
