Peak,Artist,SongName,Weeks
1,GloRilla & Sexyy Red,Whatchu Kno About Me,6
2,Stepz,Rock,4
3,Gia Margaret,Hinoki Wood,1
4,Nicki Minaj,Anaconda,1
4,"Tyler, The Creator Feat. Lola Young",Like Him,4
6,The Marias,No One Noticed  (Extended Spanish),9
4,Aphex Twin,QKThr,24
1,Mariah Carey,All I Want For Christmas Is You,14
9,NLE Choppa,Gang Baby,1
1,Yeah Yeah Yeahs,Maps,9
3,Beyonce,Diva,5
12,Chase Atlantic,Swim,1
13,"Tyler, The Creator Feat. GloRilla, Sexyy Red & Lil Wayne",Sticky,3
14,E.K.E. Feat. TruCarr,Ghetto,1
2,Wham!,Last Christmas,13
16,Monaleo,Don Who Leo,5
6,Gracie Abrams,That's So True,4
18,Sam Austins,Seasons,1
6,Brenda Lee,Rockin' Around The Christmas Tree,11
15,ROSE & Bruno Mars,APT.,5
21,BabyChiefDoit,Nachos,1
22,Adele,Send My Love (To Your New Lover),1
23,Conan Gray,The Cut That Always Bleeds,1
6,Gigi Perez,Sailor Song,14
9,Michael Prince Feat. Koncept P,Finesse (Live),4
26,2hollis,Jeans,1
27,lovelytheband & The Kooks,Jeanie,1
28,Nelly Furtado,I'm Like A Bird,1
29,The Weeknd & Playboi Carti,Timeless,4
7,Billie Eilish,Wildflower,27
7,A.J. & Big Justice,We Bring The BOOM! Crew Version (Crew Version),5
3,Akon,Akon's Beautiful Day,7
23,Kimya Dawson,You Love Me,14
34,El Snappo,Chicken,1
4,Vines,Being Loved Isn't The Same As Being Understood,6
36,Frank Ocean,White Ferrari,6
37,Zach Bryan,High Road,1
1,Tommy Richman,Million Dollar Baby,30
33,Arctic Monkeys,No. 1 Party Anthem,5
40,"Dream, Ivory",Welcome And Goodbye,1
41,Ole 60,Thoughts Of You,1
42,Daniel Caesar,Hold Me Down,1
7,Oscar Maydon & Fuerza Regida,Tu Boda,6
1,Blood Orange,Champagne Coast,20
13,Jshxwty,Running Off,10
46,SZA,F2F,1
3,Billie Eilish,Birds Of A Feather,27
48,maxxytren & bulk_machine,Jock's Anthem,1
49,DM Production,Christmas Is Coming,1
50,OMB Peezy,Lay Down,1
