Peak,Artist,SongName,Weeks
1,ROSE & Bruno Mars,APT.,6
1,Lady Gaga & Bruno Mars,Die With A Smile,15
3,Kendrick Lamar,Squabble Up,1
4,Kendrick Lamar & SZA,Luther,1
5,Kendrick Lamar Feat. Lefty Gunplay,TV Off,1
6,Kendrick Lamar,Wacced Out Murals,1
1,Billie Eilish,Birds Of A Feather,28
4,Gracie Abrams,That’s So True,6
1,Mariah Carey,All I Want For Christmas Is You,43
10,Kendrick Lamar Feat. Dody6,Hey Now,1
2,Wham!,Last Christmas,37
12,Kendrick Lamar,Reincarnated,1
13,Kendrick Lamar,Man At The Garden,1
1,Sabrina Carpenter,Espresso,33
15,"Kendrick Lamar Feat. Wallie the Sensei, Siete7x & Roddy Ricch",Dodger Blue,1
16,Kendrick Lamar,Heart Pt. 6,1
4,Oscar Maydon & Fuerza Regida,Tu Boda,9
1,Benson Boone,Beautiful Things,45
4,Teddy Swims,Lose Control,63
20,Kendrick Lamar Feat. AzChike,Peekaboo,1
2,Brenda Lee,Rockin' Around The Christmas Tree,32
2,Sabrina Carpenter,Taste,14
23,Stromae & Pomme,Ma Meilleure Ennemie,1
10,Gigi Perez,Sailor Song,14
4,Bobby Helms,Jingle Bell Rock,32
11,Billie Eilish,Wildflower,28
3,The Weeknd & Playboi Carti,Timeless,9
3,Shaboozey,A Bar Song (Tipsy),33
29,ROSE,Number One Girl,1
1,Jimin,Who,19
5,Chappell Roan,"Good Luck, Babe!",33
32,Kendrick Lamar & SZA,Gloria,1
5,JIN,Running Wild,2
34,G-DRAGON Feat. TAEYANG & DAESUNG,Home Sweet Home,1
35,"Kendrick Lamar Feat. Hitta J3, YoungThreat & Peysoh",GNX,1
5,Karol G,Si Antes Te Hubiera Conocido,23
20,Rauw Alejandro & Bad Bunny,Que Pasaria...,2
1,Sabrina Carpenter,Please Please Please,25
5,Ariana Grande,Santa Tell Me,31
8,aespa,Whiplash,6
14,Gracie Abrams,"I Love You, I'm Sorry",17
33,Rauw Alejandro & Romeo Santos,Khe?,2
23,"Tyler, The Creator Feat. GloRilla, Sexyy Red & Lil Wayne",Sticky,5
6,Kelly Clarkson,Underneath The Tree,30
45,Cynthia Erivo Feat. Ariana Grande,Defying Gravity,1
6,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,28
1,Hozier,Too Sweet,36
3,Linkin Park,The Emptiness Machine,12
6,Michael Buble,It's Beginning To Look A Lot Like Christmas,30
1,Post Malone Feat. Morgan Wallen,I Had Some Help,29
11,Sia,Snowman,34
