Peak,Artist,SongName,Weeks
1,Kendrick Lamar,Squabble Up,1
2,Kendrick Lamar Feat. Lefty Gunplay,TV Off,1
3,Kendrick Lamar & SZA,Luther,1
4,Kendrick Lamar,Wacced Out Murals,1
5,Kendrick Lamar Feat. Dody6,Hey Now,1
1,Shaboozey,A Bar Song (Tipsy),33
2,Lady Gaga & Bruno Mars,Die With A Smile,15
8,Kendrick Lamar,Reincarnated,1
9,Kendrick Lamar,Man At The Garden,1
1,Mariah Carey,All I Want For Christmas Is You,67
11,"Kendrick Lamar Feat. Wallie the Sensei, Siete7x & Roddy Ricch",Dodger Blue,1
2,Billie Eilish,Birds Of A Feather,28
13,Kendrick Lamar Feat. AzChike,Peekaboo,1
14,Kendrick Lamar,Heart Pt. 6,1
1,Brenda Lee,Rockin' Around The Christmas Tree,60
1,Teddy Swims,Lose Control,68
6,Gracie Abrams,That's So True,6
4,Wham!,Last Christmas,41
3,Bobby Helms,Jingle Bell Rock,57
3,Sabrina Carpenter,Espresso,33
1,Post Malone Feat. Morgan Wallen,I Had Some Help,29
8,ROSE & Bruno Mars,APT.,6
2,Sabrina Carpenter,Taste,14
24,"Kendrick Lamar Feat. Hitta J3, YoungThreat & Peysoh",GNX,1
2,Benson Boone,Beautiful Things,45
10,"Tyler, The Creator Feat. GloRilla, Sexyy Red & Lil Wayne",Sticky,5
27,Kendrick Lamar & SZA,Gloria,1
1,Morgan Wallen,Love Somebody,6
17,GloRilla & Sexyy Red,Whatchu Kno About Me,7
1,Kendrick Lamar,Not Like Us,30
1,Hozier,Too Sweet,36
3,The Weeknd & Playboi Carti,Timeless,9
4,Burl Ives,A Holly Jolly Christmas,41
4,Chappell Roan,"Good Luck, Babe!",34
5,Andy Williams,It's The Most Wonderful Time Of The Year,41
20,Myles Smith,Stargazing,29
14,Jelly Roll,I Am Not Okay,24
1,Sabrina Carpenter,Please Please Please,25
7,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,32
22,Gigi Perez,Sailor Song,15
6,Jose Feliciano,Feliz Navidad,33
8,The Ronettes,Sleigh Ride,29
11,Ariana Grande,Santa Tell Me,25
44,Cynthia Erivo Feat. Ariana Grande,Defying Gravity,1
7,Morgan Wallen,Lies Lies Lies,21
11,Kelly Clarkson,Underneath The Tree,28
17,Billie Eilish,Wildflower,28
9,"Nat ""King"" Cole",The Christmas Song (Merry Christmas To You),45
2,Tommy Richman,Million Dollar Baby,31
14,Sabrina Carpenter,Bed Chem,14
22,Koe Wetzel & Jessie Murph,High Road,25
29,"Tyler, The Creator Feat. Lola Young",Like Him,5
53,Ariana Grande,Popular,1
30,Ella Langley Feat. Riley Green,You Look Like You Love Me,23
22,Oscar Maydon & Fuerza Regida,Tu Boda,6
12,Jimin,Who,19
40,Tucker Wetmore,Wind Up Missin' You,35
19,Gracie Abrams,"I Love You, I'm Sorry",17
22,The Marias,No One Noticed,9
34,Rauw Alejandro & Bad Bunny,Que Pasaria...,2
58,Zach Top,I Never Lie,10
57,Summer Walker,Heart Of A Woman,5
7,"Tyler, The Creator Feat. Daniel Caesar",St. Chroma,5
20,Tate McRae,It's Ok I'm Ok,11
42,Cody Johnson & Carrie Underwood,I'm Gonna Love You,9
26,Chappell Roan,Pink Pony Club,24
14,The Weeknd,Dancing In The Flames,11
68,Ariana Grande & Cynthia Erivo,What Is This Feeling?,1
62,Jelly Roll,Liar,9
47,Real Boston Richey,Help Me,19
29,Zach Bryan,High Road,3
59,Chris Brown,Residuals,13
22,Sabrina Carpenter,Juno,14
49,Chris Stapleton,Think I'm In Love With You,30
51,Tito Double P & Peso Pluma,Dos Dias,12
27,Lady Gaga,Disease,5
16,Rod Wave,25,7
78,Lainey Wilson,4x4xU,3
60,Rauw Alejandro & Romeo Santos,Khe?,2
70,GloRilla & T-Pain,I Luv Her,7
17,Post Malone Feat. Luke Combs,Guy For That,18
49,Gracie Abrams,Close To You,16
15,"Tyler, The Creator Feat. Teezo Touchdown","Darling, I",5
71,Shaboozey,Good News,2
85,Jack Harlow,Hello Miss Johnson,1
86,"Ariana Grande Feat. Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke & Jenna Boyd",No One Mourns The Wicked,1
41,Tate McRae,2 Hands,2
72,Teddy Swims,Bad Dreams,4
54,Addison Rae,Diet Pepsi,12
90,"Jonathan Bailey Feat. Ariana Grande, Ethan Slater, Marissa Bode & Cynthia Erivo",Dancing Through Life,1
63,Megan Moroney,Am I Okay?,16
54,BossMan Dlow,Shake Dat Ass (Twerk Song),12
93,Cynthia Erivo Feat. Michelle Yeoh,The Wizard And I,1
94,Cynthia Erivo,I'm Not That Girl,1
95,Stromae & Pomme,Ma Meilleure Ennemie,1
56,Lil Baby,Insecurities,2
77,Don Toliver,No Pole,5
98,NLE Choppa,Gang Baby,1
51,Charli xcx,Apple,19
71,The Red Clay Strays,Wondering Why,17
